date,maximum temerature,minimum temperature,average temperature,precipitation,snow fall,snow depth
2016-01-01,42,34,38,0,0,0
2016-01-02,40,32,36,0,0,0
2016-01-03,45,35,40,0,0,0
2016-01-04,36,14,25,0,0,0
2016-01-05,29,11,20,0,0,0
2016-01-06,41,25,33,0,0,0
2016-01-07,46,31,38.5,0,0,0
2016-01-08,46,31,38.5,0,0,0
2016-01-09,47,40,43.5,T,0,0
2016-01-10,59,40,49.5,1.8,0,0
2016-01-11,40,26,33,0,0,0
2016-01-12,44,25,34.5,0,T,0
2016-01-13,30,22,26,0,0,0
2016-01-14,38,22,30,0,T,0
2016-01-15,51,34,42.5,T,0,0
2016-01-16,52,42,47,0.24,0,0
2016-01-17,42,30,36,0.05,0.4,0
2016-01-18,31,18,24.5,T,T,T
2016-01-19,28,16,22,0,0,T
2016-01-20,37,27,32,0,0,T
2016-01-21,36,26,31,0,0,0
2016-01-22,30,21,25.5,0.01,0.2,0
2016-01-23,27,24,25.5,2.31,27.3,6
2016-01-24,35,20,27.5,T,T,22
2016-01-25,39,28,33.5,0,0,19
2016-01-26,48,38,43,0,0,17
2016-01-27,47,34,40.5,T,0,9
2016-01-28,42,32,37,0,0,6
2016-01-29,41,30,35.5,0,0,6
2016-01-30,39,28,33.5,0,0,6
2016-01-31,56,36,46,0,0,4
2016-02-01,59,44,51.5,0.01,0,2
2016-02-02,50,38,44,0,0,T
2016-02-03,59,42,50.5,0.73,0,0
2016-02-04,59,44,51.5,T,0,0
2016-02-05,44,31,37.5,0.53,2.5,1
2016-02-06,40,30,35,0,0,0
2016-02-07,47,33,40,0,0,0
2016-02-08,39,28,33.5,0.05,0.1,0
2016-02-09,36,27,31.5,0,T,T
2016-02-10,39,31,35,0.01,T,0
2016-02-11,31,18,24.5,T,T,0
2016-02-12,27,15,21,0,0,0
2016-02-13,22,6,14,0,0,0
2016-02-14,15,-1,7,0,0,0
2016-02-15,35,13,24,0.44,1.4,0
2016-02-16,54,35,44.5,1.01,0,0
2016-02-17,39,35,37,0,0,0
2016-02-18,36,27,31.5,0,0,0
2016-02-19,39,24,31.5,0,0,0
2016-02-20,61,39,50,0,0,0
2016-02-21,55,44,49.5,0.03,0,0
2016-02-22,52,38,45,0,0,0
2016-02-23,40,35,37.5,0.3,T,0
2016-02-24,60,36,48,1.22,0,0
2016-02-25,61,37,49,0.02,0,0
2016-02-26,39,27,33,0,0,0
2016-02-27,41,26,33.5,0,0,0
2016-02-28,60,38,49,0,0,0
2016-02-29,61,47,54,0.05,0,0
2016-03-01,52,39,45.5,0,0,0
2016-03-02,55,29,42,0.14,0,0
2016-03-03,36,26,31,0,0,0
2016-03-04,39,30,34.5,0.11,0.4,T
2016-03-05,41,28,34.5,0,0,0
2016-03-06,44,32,38,0,0,0
2016-03-07,60,36,48,0,0,0
2016-03-08,67,47,57,0,0,0
2016-03-09,77,44,60.5,0,0,0
2016-03-10,79,63,71,0,0,0
2016-03-11,68,48,58,0.06,0,0
2016-03-12,59,40,49.5,0,0,0
2016-03-13,62,50,56,T,0,0
2016-03-14,51,40,45.5,0.29,0,0
2016-03-15,57,44,50.5,0,0,0
2016-03-16,65,48,56.5,0.02,0,0
2016-03-17,63,45,54,T,0,0
2016-03-18,57,42,49.5,0,0,0
2016-03-19,46,36,41,0,0,0
2016-03-20,43,32,37.5,0.07,T,0
2016-03-21,50,32,41,0.06,0.5,T
2016-03-22,56,35,45.5,0,0,0
2016-03-23,71,48,59.5,0,0,0
2016-03-24,55,44,49.5,0,0,0
2016-03-25,72,44,58,0.04,0,0
2016-03-26,55,38,46.5,0,0,0
2016-03-27,55,43,49,0,0,0
2016-03-28,62,42,52,0.38,0,0
2016-03-29,53,40,46.5,0,0,0
2016-03-30,56,37,46.5,0,0,0
2016-03-31,73,49,61,0,0,0
2016-04-01,79,61,70,0.02,0,0
2016-04-02,61,49,55,0.16,0,0
2016-04-03,50,34,42,0.09,T,0
2016-04-04,45,29,37,0.47,T,0
2016-04-05,43,26,34.5,0,0,0
2016-04-06,48,30,39,0,0,0
2016-04-07,58,48,53,0.09,0,0
2016-04-08,50,40,45,0.01,0,0
2016-04-09,43,36,39.5,0.11,T,0
2016-04-10,50,31,40.5,0,0,0
2016-04-11,65,43,54,0.01,0,0
2016-04-12,59,45,52,0.2,0,0
2016-04-13,58,40,49,0,0,0
2016-04-14,62,43,52.5,0,0,0
2016-04-15,65,42,53.5,0,0,0
2016-04-16,68,43,55.5,0,0,0
2016-04-17,75,44,59.5,0,0,0
2016-04-18,82,51,66.5,0,0,0
2016-04-19,73,55,64,0,0,0
2016-04-20,69,49,59,0,0,0
2016-04-21,73,49,61,0,0,0
2016-04-22,79,62,70.5,T,0,0
2016-04-23,71,54,62.5,0.16,0,0
2016-04-24,68,47,57.5,0,0,0
2016-04-25,69,50,59.5,0,0,0
2016-04-26,60,47,53.5,0.24,0,0
2016-04-27,62,46,54,0,0,0
2016-04-28,59,48,53.5,0,0,0
2016-04-29,58,45,51.5,0.05,0,0
2016-04-30,65,46,55.5,0,0,0
2016-05-01,51,45,48,0.16,0,0
2016-05-02,60,45,52.5,0.04,0,0
2016-05-03,56,51,53.5,0.61,0,0
2016-05-04,52,48,50,0.01,0,0
2016-05-05,57,46,51.5,0,0,0
2016-05-06,54,48,51,0.54,0,0
2016-05-07,60,48,54,0,0,0
2016-05-08,66,49,57.5,0.16,0,0
2016-05-09,72,52,62,0,0,0
2016-05-10,63,50,56.5,0,0,0
2016-05-11,76,50,63,0,0,0
2016-05-12,80,56,68,0,0,0
2016-05-13,65,57,61,0.25,0,0
2016-05-14,73,56,64.5,0,0,0
2016-05-15,59,46,52.5,0,0,0
2016-05-16,66,43,54.5,0,0,0
2016-05-17,64,52,58,0,0,0
2016-05-18,68,52,60,T,0,0
2016-05-19,73,54,63.5,0,0,0
2016-05-20,76,53,64.5,0,0,0
2016-05-21,66,54,60,0.04,0,0
2016-05-22,70,52,61,0.09,0,0
2016-05-23,78,56,67,0.02,0,0
2016-05-24,73,58,65.5,0.18,0,0
2016-05-25,88,61,74.5,0,0,0
2016-05-26,90,69,79.5,0,0,0
2016-05-27,87,73,80,0,0,0
2016-05-28,92,71,81.5,0,0,0
2016-05-29,87,70,78.5,T,0,0
2016-05-30,82,68,75,1.65,0,0
2016-05-31,85,71,78,0,0,0
2016-06-01,83,66,74.5,0,0,0
2016-06-02,78,62,70,0,0,0
2016-06-03,70,63,66.5,0.04,0,0
2016-06-04,83,66,74.5,0.4,0,0
2016-06-05,71,65,68,0.91,0,0
2016-06-06,83,65,74,0,0,0
2016-06-07,85,64,74.5,T,0,0
2016-06-08,67,52,59.5,0.45,0,0
2016-06-09,71,54,62.5,0,0,0
2016-06-10,77,57,67,0,0,0
2016-06-11,88,59,73.5,0,0,0
2016-06-12,83,62,72.5,0,0,0
2016-06-13,74,57,65.5,0,0,0
2016-06-14,79,58,68.5,0,0,0
2016-06-15,85,62,73.5,0,0,0
2016-06-16,74,65,69.5,0.22,0,0
2016-06-17,78,63,70.5,0,0,0
2016-06-18,87,61,74,0,0,0
2016-06-19,88,66,77,0,0,0
2016-06-20,84,64,74,0,0,0
2016-06-21,87,72,79.5,T,0,0
2016-06-22,86,68,77,0,0,0
2016-06-23,83,69,76,0,0,0
2016-06-24,84,67,75.5,0,0,0
2016-06-25,86,64,75,0,0,0
2016-06-26,87,67,77,0,0,0
2016-06-27,83,67,75,0.45,0,0
2016-06-28,76,68,72,0.12,0,0
2016-06-29,83,67,75,0.01,0,0
2016-06-30,85,67,76,0,0,0
2016-07-01,79,66,72.5,0.83,0,0
2016-07-02,76,63,69.5,0,0,0
2016-07-03,78,64,71,0,0,0
2016-07-04,84,66,75,0.49,0,0
2016-07-05,86,69,77.5,0.66,0,0
2016-07-06,91,75,83,0,0,0
2016-07-07,89,77,83,0.04,0,0
2016-07-08,86,67,76.5,0.08,0,0
2016-07-09,72,65,68.5,0.53,0,0
2016-07-10,80,66,73,T,0,0
2016-07-11,81,65,73,0,0,0
2016-07-12,82,68,75,0,0,0
2016-07-13,85,71,78,0,0,0
2016-07-14,88,73,80.5,0.62,0,0
2016-07-15,88,79,83.5,0,0,0
2016-07-16,90,75,82.5,T,0,0
2016-07-17,89,75,82,0,0,0
2016-07-18,93,72,82.5,0.35,0,0
2016-07-19,83,73,78,0,0,0
2016-07-20,85,68,76.5,0,0,0
2016-07-21,90,71,80.5,0,0,0
2016-07-22,94,74,84,0,0,0
2016-07-23,96,80,88,0,0,0
2016-07-24,94,75,84.5,0,0,0
2016-07-25,93,73,83,1,0,0
2016-07-26,89,72,80.5,0,0,0
2016-07-27,91,74,82.5,0,0,0
2016-07-28,95,75,85,T,0,0
2016-07-29,85,69,77,1.09,0,0
2016-07-30,84,73,78.5,0.25,0,0
2016-07-31,78,71,74.5,1.08,0,0
2016-08-01,80,69,74.5,T,0,0
2016-08-02,79,68,73.5,0,0,0
2016-08-03,80,66,73,0,0,0
2016-08-04,81,67,74,0,0,0
2016-08-05,83,69,76,0,0,0
2016-08-06,87,72,79.5,0.05,0,0
2016-08-07,86,70,78,0,0,0
2016-08-08,86,71,78.5,0,0,0
2016-08-09,87,71,79,0,0,0
2016-08-10,86,75,80.5,0.09,0,0
2016-08-11,91,74,82.5,0.15,0,0
2016-08-12,93,73,83,0.32,0,0
2016-08-13,96,81,88.5,0,0,0
2016-08-14,94,78,86,0.06,0,0
2016-08-15,92,77,84.5,0,0,0
2016-08-16,87,78,82.5,0.11,0,0
2016-08-17,85,77,81,0.01,0,0
2016-08-18,85,72,78.5,0.03,0,0
2016-08-19,88,74,81,0.01,0,0
2016-08-20,83,70,76.5,0.82,0,0
2016-08-21,86,73,79.5,0.31,0,0
2016-08-22,79,65,72,0,0,0
2016-08-23,82,61,71.5,0,0,0
2016-08-24,88,68,78,0,0,0
2016-08-25,86,69,77.5,0.01,0,0
2016-08-26,90,75,82.5,0,0,0
2016-08-27,89,73,81,0,0,0
2016-08-28,89,72,80.5,0,0,0
2016-08-29,91,74,82.5,0,0,0
2016-08-30,86,69,77.5,0,0,0
2016-08-31,89,74,81.5,T,0,0
2016-09-01,79,69,74,0.5,0,0
2016-09-02,81,66,73.5,0,0,0
2016-09-03,75,66,70.5,0,0,0
2016-09-04,80,65,72.5,0,0,0
2016-09-05,84,65,74.5,0,0,0
2016-09-06,80,71,75.5,T,0,0
2016-09-07,85,71,78,0,0,0
2016-09-08,89,71,80,0,0,0
2016-09-09,91,75,83,0.22,0,0
2016-09-10,90,74,82,T,0,0
2016-09-11,83,67,75,0,0,0
2016-09-12,78,62,70,0,0,0
2016-09-13,83,64,73.5,0,0,0
2016-09-14,91,67,79,0.56,0,0
2016-09-15,74,61,67.5,0,0,0
2016-09-16,73,61,67,0,0,0
2016-09-17,77,59,68,0,0,0
2016-09-18,82,70,76,0,0,0
2016-09-19,76,69,72.5,0.68,0,0
2016-09-20,82,68,75,0,0,0
2016-09-21,84,68,76,0,0,0
2016-09-22,86,65,75.5,0,0,0
2016-09-23,87,64,75.5,0.01,0,0
2016-09-24,71,58,64.5,0.2,0,0
2016-09-25,70,54,62,0,0,0
2016-09-26,74,54,64,0,0,0
2016-09-27,74,64,69,0.22,0,0
2016-09-28,69,56,62.5,0,0,0
2016-09-29,64,57,60.5,0,0,0
2016-09-30,59,56,57.5,0.4,0,0
2016-10-01,62,56,59,0,0,0
2016-10-02,63,57,60,0,0,0
2016-10-03,72,60,66,0,0,0
2016-10-04,69,60,64.5,0,0,0
2016-10-05,67,53,60,0,0,0
2016-10-06,73,55,64,0,0,0
2016-10-07,75,57,66,0,0,0
2016-10-08,68,58,63,0.23,0,0
2016-10-09,65,51,58,0.55,0,0
2016-10-10,64,47,55.5,0,0,0
2016-10-11,63,46,54.5,0,0,0
2016-10-12,66,53,59.5,0,0,0
2016-10-13,67,53,60,T,0,0
2016-10-14,62,47,54.5,0,0,0
2016-10-15,65,45,55,0,0,0
2016-10-16,69,53,61,0,0,0
2016-10-17,81,63,72,0,0,0
2016-10-18,81,67,74,0,0,0
2016-10-19,85,65,75,0,0,0
2016-10-20,70,62,66,0,0,0
2016-10-21,69,57,63,1.11,0,0
2016-10-22,57,47,52,0.29,0,0
2016-10-23,61,45,53,0,0,0
2016-10-24,62,47,54.5,T,0,0
2016-10-25,52,43,47.5,0,0,0
2016-10-26,51,38,44.5,0,0,0
2016-10-27,55,40,47.5,1.41,0,0
2016-10-28,51,42,46.5,0,0,0
2016-10-29,64,39,51.5,0,0,0
2016-10-30,76,54,65,0.56,0,0
2016-10-31,54,44,49,0,0,0
2016-11-01,58,40,49,0,0,0
2016-11-02,70,54,62,0,0,0
2016-11-03,72,57,64.5,0,0,0
2016-11-04,61,47,54,0,0,0
2016-11-05,62,44,53,0,0,0
2016-11-06,59,45,52,0,0,0
2016-11-07,53,41,47,0,0,0
2016-11-08,66,41,53.5,0,0,0
2016-11-09,59,49,54,0.06,0,0
2016-11-10,56,40,48,0,0,0
2016-11-11,63,41,52,0,0,0
2016-11-12,50,37,43.5,0,0,0
2016-11-13,61,41,51,0,0,0
2016-11-14,62,46,54,0,0,0
2016-11-15,56,47,51.5,1.81,0,0
2016-11-16,61,45,53,0,0,0
2016-11-17,61,49,55,0,0,0
2016-11-18,64,44,54,0,0,0
2016-11-19,63,37,50,0.25,0,0
2016-11-20,42,34,38,0.31,T,0
2016-11-21,41,36,38.5,0,0,0
2016-11-22,41,37,39,0,0,0
2016-11-23,45,35,40,0,0,0
2016-11-24,48,38,43,0.03,0,0
2016-11-25,54,45,49.5,0.02,0,0
2016-11-26,50,40,45,0,0,0
2016-11-27,50,39,44.5,0,0,0
2016-11-28,52,38,45,0,0,0
2016-11-29,60,51,55.5,2.2,0,0
2016-11-30,58,50,54,0.73,0,0
2016-12-01,54,42,48,0.07,0,0
2016-12-02,51,40,45.5,0,0,0
2016-12-03,47,41,44,T,0,0
2016-12-04,47,39,43,0,0,0
2016-12-05,49,38,43.5,0.19,0,0
2016-12-06,46,37,41.5,0.35,0,0
2016-12-07,46,40,43,0.09,0,0
2016-12-08,45,35,40,0,0,0
2016-12-09,39,29,34,0,0,0
2016-12-10,35,28,31.5,0,0,0
2016-12-11,35,28,31.5,0.03,0.4,0
2016-12-12,46,34,40,0.5,0,0
2016-12-13,43,35,39,0,0,0
2016-12-14,42,34,38,0,0,0
2016-12-15,34,19,26.5,0,T,0
2016-12-16,27,17,22,0,0,0
2016-12-17,39,24,31.5,0.73,2.8,2
2016-12-18,58,31,44.5,0.04,0,1
2016-12-19,31,23,27,0,0,0
2016-12-20,33,20,26.5,0,0,0
2016-12-21,40,30,35,0,0,0
2016-12-22,49,37,43,0,0,0
2016-12-23,47,38,42.5,0,0,0
2016-12-24,47,38,42.5,0.47,0,0
2016-12-25,50,36,43,0,0,0
2016-12-26,50,33,41.5,0.02,0,0
2016-12-27,60,40,50,0,0,0
2016-12-28,40,34,37,0,0,0
2016-12-29,46,33,39.5,0.39,0,0
2016-12-30,40,33,36.5,0.01,T,0
2016-12-31,44,31,37.5,0,0,0
